P.Value B
1 2.83475388688083e-18 30.7091911565601
2 6.2500550823006e-16 25.6176343697507
3 3.86804132823865e-15 23.8893477246833
4 1.45916082492594e-14 22.6281921698052
5 1.49952195011618e-14 22.6022561427512
6 5.59286241186982e-14 21.3501481034849
7 1.4605036234005e-13 20.436140511101
8 2.12959530265544e-13 20.0768037672223
9 5.43677770481657e-13 19.1833454874618
10 5.82391791791993e-13 19.1177477999548
11 7.1452393735128e-13 18.9227346341977
12 8.75907518718597e-13 18.7284836899571
13 1.10753847963668e-12 18.5046371148648
14 1.80141288467991e-12 18.0404585312755
15 1.84544604154401e-12 18.0174097644071
16 2.07796139278955e-12 17.9041481456861
17 3.51465534194926e-12 17.4024316965624
18 5.43257652314245e-12 16.9865960497191
19 6.02406348274022e-12 16.8878932933144
20 7.21137029861079e-12 16.7160704478671
21 8.29466783891405e-12 16.5823871192459
22 9.60026773092575e-12 16.4427486339385
23 1.34175661299236e-11 16.1229155883461
24 1.50041571406625e-11 16.0161301906044
25 1.6528521060449e-11 15.9236749468082
26 1.79249989419848e-11 15.8461717132673
27 2.01614733063708e-11 15.7338167699542
28 2.23621611278842e-11 15.6348169176337
29 2.92483504799045e-11 15.3782578874334
30 2.97524673356452e-11 15.3619252680608
31 4.06457791692292e-11 15.0637320900617
32 4.31754529836463e-11 15.0060200908505
33 4.83320676489815e-11 14.8981741572407
34 5.23843613303416e-11 14.8212109005917
35 5.4485869022885e-11 14.7836110389043
36 6.44877101253527e-11 14.6225002792729
37 7.57118111589612e-11 14.4691008882744
38 8.40046391767557e-11 14.3697329104105
39 8.41904529043039e-11 14.367620525967
40 8.42154490975949e-11 14.367336717723
41 8.87268448439769e-11 14.3174460427202
42 1.17083442139705e-10 14.0523000134534
43 1.21153819527748e-10 14.0196255527327
44 1.41175772640976e-10 13.8733898367167
45 1.59552854272968e-10 13.7563853147484
46 1.64679851547789e-10 13.7261435352146
47 2.20394067615076e-10 13.447495982641
48 2.20454874848212e-10 13.447232198466
49 2.37894493818853e-10 13.3744315474524
50 2.37967714507544e-10 13.3741372817504
51 2.47754628097231e-10 13.3355979266988
52 2.6214677717471e-10 13.2816039966648
53 2.76638834861772e-10 13.2301509322737
54 3.12348157286248e-10 13.1140583340914
55 4.03142938162866e-10 12.8700496499652
56 4.69148217949564e-10 12.7250547088272
57 4.73027085152512e-10 12.7171809680651
58 5.06938938268568e-10 12.6509715745322
59 6.40176752303521e-10 12.4278249883786
60 7.62151785273527e-10 12.2610529836652
61 7.69990369232142e-10 12.2512683714151
62 9.18379095553286e-10 12.0827473507504
63 9.2093685147829e-10 12.0800878577477
64 1.13073900501589e-09 11.8838361299422
65 1.16377744428649e-09 11.8562973549088
66 1.27772091807218e-09 11.7669808677318
67 1.48040578183061e-09 11.6261925547251
68 1.64305089369134e-09 11.526522203336
69 1.83354057650708e-09 11.4216374475136
70 1.98677538958883e-09 11.3448937353583
71 2.09670576447083e-09 11.2934019719574
72 2.12815733347984e-09 11.2791662266611
73 2.25066898433658e-09 11.2256516388507
74 2.27359841928384e-09 11.2159602780056
75 2.32043953667948e-09 11.1964626325415
76 2.39883199141258e-09 11.1646960124544
77 2.62843314591797e-09 11.0773043911513
78 2.74469582978104e-09 11.0359235910272
79 2.79213137001594e-09 11.0195415449237
80 2.92809580758456e-09 10.9740841235764
81 3.35221417377218e-09 10.8447635799946
82 3.64628335651214e-09 10.7643764244451
83 3.65069685413004e-09 10.7632199918404
84 3.82557065813656e-09 10.7184902442529
85 3.89727032937407e-09 10.7007391399964
86 5.3901342450724e-09 10.3907429336723
87 5.58913044697979e-09 10.3560901321743
88 6.04601706733103e-09 10.2809850252859
89 6.32218395171623e-09 10.2382940453165
90 6.41369970012158e-09 10.2245578054745
91 7.03748628628193e-09 10.1358481307654
92 7.43398733465763e-09 10.0834627037193
93 8.2600088225392e-09 9.98276627771847
94 8.54082963970277e-09 9.95081562343717
95 8.99818154603762e-09 9.90096436935382
96 9.33431948319639e-09 9.86591602505263
97 9.97388340158392e-09 9.80258549580033
98 1.02183848615302e-08 9.77944248161355
99 1.02685605302224e-08 9.77476172572897
100 1.03577710709144e-08 9.76649574172008
101 1.05321035658293e-08 9.75054622689247
102 1.17803134883819e-08 9.64352372298045
103 1.24131153326322e-08 9.5935282230033
104 1.25776595238417e-08 9.58094583890416
105 1.26764042319039e-08 9.57347385190655
106 1.33593931632849e-08 9.52333359666364
107 1.55886474959094e-08 9.37589207503193
108 1.77394742388805e-08 9.25241656629994
109 1.80032635444117e-08 9.23831587746803
110 1.83108374872838e-08 9.2221334598986
111 1.84164913800049e-08 9.21663737994744
112 1.91677332026417e-08 9.1784445868076
113 2.08339980186789e-08 9.09881969744722
114 2.11551658055104e-08 9.08420729947011
115 2.18637438304642e-08 9.05273859240171
116 2.2270124023387e-08 9.0351481516905
117 2.6179235220595e-08 8.88068948944858
118 2.64175162899126e-08 8.87203612634192
119 2.77449888699297e-08 8.82521346158124
120 2.94371463127233e-08 8.76867648914919
121 2.97605006514218e-08 8.7582438848164
122 3.21798821723025e-08 8.68360738719414
123 3.3797683327522e-08 8.63676976735877
124 3.52569748283842e-08 8.59640733000403
125 3.6925934661265e-08 8.55224646594963
126 3.72964208324493e-08 8.54271455657282
127 3.85735459607533e-08 8.5105678809127
128 3.90737619787279e-08 8.4982663093096
129 3.96176555851951e-08 8.48506818450846
130 4.15410262706503e-08 8.43980790026404
131 4.18687969049035e-08 8.43230458461521
132 4.34383377818906e-08 8.39717067892972
133 4.415913298513e-08 8.38145943139833
134 4.52313460150025e-08 8.35855688092041
135 4.79982989227481e-08 8.30187644061331
136 4.86380344948048e-08 8.2892374942863
137 5.26889193042816e-08 8.21287442406145
138 6.23280734833984e-08 8.05252186801544
139 6.41684030659244e-08 8.02475110114684
140 6.83378040686784e-08 7.964674937977
141 6.95280616914072e-08 7.94819711255044
142 7.13212967179571e-08 7.92389736083731
143 7.25005588320423e-08 7.90824850847551
144 7.49274635494535e-08 7.87682976114364
145 7.91897766443877e-08 7.82403836797635
146 8.28718800133085e-08 7.78067459621346
147 8.44736004303778e-08 7.76241006349256
148 8.56761123839347e-08 7.74892413926676
149 8.71582092412377e-08 7.7325610359664
150 8.92930249256319e-08 7.70947463814069
151 9.02874041117066e-08 7.69890916544677
152 9.12285664255364e-08 7.68901588606949
153 9.55832692538041e-08 7.64453158899725
154 1.03620449567812e-07 7.56751450189636
155 1.06865143906703e-07 7.53810381823421
156 1.07849873318986e-07 7.52935463483008
157 1.16886500217212e-07 7.45260857362074
158 1.21214182218881e-07 7.417934600273
159 1.2265801762541e-07 7.40664158439351
160 1.24677119473676e-07 7.39107029030842
161 1.29854213252839e-07 7.3522701371449
162 1.32246346750284e-07 7.33486233971137
163 1.35588374338339e-07 7.31106275830511
164 1.39957978714735e-07 7.28081637968881
165 1.40055960516013e-07 7.28014903961378
166 1.43794830403013e-07 7.25502728404713
167 1.52642354590552e-07 7.19809338632532
168 1.55307737652498e-07 7.18158809123184
169 1.58376685024173e-07 7.16293142696206
170 1.6062393836185e-07 7.14949812965102
171 1.62171618072091e-07 7.14035561514468
172 1.63380448740892e-07 7.13327531994234
173 1.70032178877058e-07 7.0952299183434
174 1.80913432126639e-07 7.03609508751164
175 1.83584242167209e-07 7.02212495350431
176 1.96088581281924e-07 6.9593146161345
177 1.97951526235606e-07 6.95030170455076
178 1.99473467295456e-07 6.94300137661861
179 1.9989845541532e-07 6.94097278641139
180 2.02748130584856e-07 6.92748101399299
181 2.04692228174345e-07 6.91838520788672
182 2.12843296478867e-07 6.88116775156613
183 2.15275055607708e-07 6.8703405121992
184 2.18643062312123e-07 6.85554524858196
185 2.22045924629613e-07 6.84082683764941
186 2.33993036216535e-07 6.79088307607602
187 2.35577139572161e-07 6.78445340603075
188 2.47021900548236e-07 6.73924802296416
189 2.49724619487404e-07 6.72887890256066
190 2.53924744419069e-07 6.71298584169444
191 2.57599902670977e-07 6.69929369808376
192 2.61807576812033e-07 6.68385577298377
193 2.71662391315697e-07 6.64864968703737
194 2.7532401427006e-07 6.63589356957583
195 2.81105896189936e-07 6.61609293429001
196 2.8286113706405e-07 6.61016257414839
197 2.8608240652903e-07 6.5993742517744
198 2.87418062398996e-07 6.59493665159113
199 3.02081565439791e-07 6.5475327677952
200 3.0712501575609e-07 6.53175945043343
201 3.1875470440086e-07 6.4963547702927
202 3.30804371779706e-07 6.46101068486436
203 3.30867230371628e-07 6.46082970882636
204 3.49887022301946e-07 6.40759317287695
205 3.50122349786165e-07 6.40695280084974
206 3.59985164025321e-07 6.38049466795152
207 3.65431978070434e-07 6.36619243656277
208 3.66403562994975e-07 6.3636637046689
209 3.67270216513862e-07 6.36141373655236
210 3.71236840377446e-07 6.35118316244526
211 3.71652075352887e-07 6.35011853967736
