Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000097934,6720483E21Rik,0.003369217305045823,-1.607252076895536,0.2648374870623748,0.009141900110986114,1.607252076895536,0.2648374870623748
ENSMUSG00000025931,Paqr8,0.6633614516156887,-0.36602204138009165,0.2195321274906231,0.8547676603772016,0.36602204138009165,0.21953212749062648
ENSMUSG00000041809,Efhc1,0.005615362175076371,-1.777177078337849,0.05412557027313722,0.018283800221972228,1.777177078337849,0.05412557027313722
ENSMUSG00000041779,Tram2,0.007112792088430071,-1.092678904065778,0.3566158329850361,0.01371285016647917,1.092678904065778,0.3566158329850361
ENSMUSG00000025933,Tmem14a,0.517362035063703,1.1681218815031627,0.00013591089641823285,0.22854750277465283,-1.1681218815031627,0.00013591089641823285
ENSMUSG00000025934,Gsta3,0.008984579480122195,-0.5483583878419687,0.8459219300310895,0.011427375138732642,0.5483583878419687,0.8459219300310895
ENSMUSG00000099343,Gm28836,0.00037435747833842477,-2.607252076895538,0.4935541395127365,0.0022854750277465285,2.607252076895538,0.4935541395127365
ENSMUSG00000028033,Kcnq5,0.3200756439793532,1.5492524087844537,4.487731765356374e-06,0.10741732630408683,-1.5492524087844537,4.487731765356374e-06
ENSMUSG00000041670,Rims1,0.4278905977408195,0.8246988053196536,0.012800525816221483,0.23997487791338548,-0.8246988053196536,0.012800525816221483
ENSMUSG00000101227,Gm29506,0.0007487149566768495,-1.02228957617438,1.0,0.0,1.02228957617438,1.0
ENSMUSG00000100775,Gm29107,0.005615362175076371,-1.607252076895537,0.10781504166262067,0.0159983251942257,1.607252076895537,0.10781504166262067
ENSMUSG00000026158,Ogfrl1,0.9849345255083956,0.9218016826749631,0.0013913974659233413,0.5188028312984619,-0.9218016826749631,0.0013913974659233413
ENSMUSG00000026156,B3gat2,0.07599456810270024,0.6057416464386614,0.29816946135079,0.047994975582677096,-0.6057416464386614,0.29816946135079
ENSMUSG00000026155,Smap1,0.5967258204714491,0.5974604041199703,0.06685389515586701,0.39310170477240286,-0.5974604041199703,0.06685389515586701
ENSMUSG00000026154,Sdhaf4,0.4043060766054988,0.044633976137015585,1.0,0.39081622974465635,-0.044633976137015585,1.0
ENSMUSG00000026153,Fam135a,0.09321501210626777,0.27106936651621094,0.6787816525659187,0.07542067591563544,-0.27106936651621094,0.6787816525659187
ENSMUSG00000026147,Col9a1,0.0037435747833842476,-0.7327829589793957,0.9138849844231784,0.004570950055493057,0.7327829589793957,0.9138849844231784
ENSMUSG00000026141,Col19a1,0.0022461448700305487,-0.7998971548379323,0.8593445999497428,0.0022854750277465285,0.7998971548379323,0.8593445999497428
ENSMUSG00000073725,Lmbrd1,1.125318579885305,0.12030858838755124,0.8879891856372286,1.0353201875691773,-0.12030858838755124,0.8879891856372286
ENSMUSG00000033569,Adgrb3,0.4016855742571298,0.9223673899818445,0.004278895169071549,0.21026370255268062,-0.9223673899818445,0.004278895169071549
ENSMUSG00000048874,Phf3,0.2901270457122792,0.17248180287640325,0.7927893255350076,0.2559732031076112,-0.17248180287640325,0.7927893255350076
ENSMUSG00000117310,Ptp4a1,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000026058,Khdrbs2,0.05091261705402577,0.6834250840073857,0.31218803733157136,0.029711175360704868,-0.6834250840073857,0.31218803733157136
ENSMUSG00000026134,Prim2,0.03593831792048878,-0.5923017354295652,0.4935541395127365,0.052565925638170155,0.5923017354295652,0.4935541395127365
ENSMUSG00000004768,Rab23,0.12016875054663435,-0.004255653344118926,1.0,0.11884470144281947,0.004255653344118926,1.0
ENSMUSG00000042215,Bag2,0.0726253507976544,0.47651628079706176,0.4213008692485175,0.050280450610423626,-0.47651628079706176,0.4213008692485175
ENSMUSG00000042197,Zfp451,0.31932692902267634,0.882912669281368,0.009103649975826833,0.1714106270809896,-0.882912669281368,0.009103649975826833
ENSMUSG00000042182,Bend6,0.8550324805249622,0.9582693357818147,0.0009786978726115075,0.4388112053273334,-0.9582693357818147,0.0009786978726115075
ENSMUSG00000026131,Dst,0.9325244785410162,0.18398317979879036,0.7167368115702448,0.8204855349610036,-0.18398317979879036,0.7167368115702448
ENSMUSG00000096992,Gm26788,0.00037435747833842477,-1.6072520768955378,1.0,0.0,1.6072520768955378,1.0
ENSMUSG00000102336,Gm37233,0.0007487149566768495,-1.02228957617438,1.0,0.0,1.02228957617438,1.0
ENSMUSG00000042111,Ccdc115,0.14787120394367778,0.37824835340934815,0.46517934735852157,0.11198827635957989,-0.37824835340934815,0.46517934735852157
ENSMUSG00000026127,Imp4,0.15198913620540047,-0.26029518751665215,0.5508763569234246,0.18055252719197573,0.26029518751665215,0.5508763569234246
ENSMUSG00000026126,Ptpn18,0.049789544619010494,-1.0330159827674392,0.010935606867036365,0.10056090122084725,1.0330159827674392,0.010935606867036365
ENSMUSG00000100280,Gm28417,0.0007487149566768495,-1.02228957617438,1.0,0.0,1.02228957617438,1.0
