Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000025907,Rb1cc1,0.4245473460000269,0.15042505298419728,0.6482731397796181,0.3170890896593576,-0.4143052488840431,0.3073924483645619,0.42489306009520844,0.06326981065442827,1.0
ENSMUSG00000090031,4732440D04Rik,0.009529682289562894,-0.24693016873409235,0.8957945733160302,0.007490293456520259,-0.10361412587938457,1.0,0.013124109964330761,0.6188028345129437,0.7691060615021782
ENSMUSG00000033740,St18,0.04240708618855488,-1.054285090791697,0.008991239306305677,0.15479939810141868,1.8612820731646993,4.028241537492418e-05,0.04429387112961632,-0.40673225759419385,0.7686807898317439
ENSMUSG00000051285,Pcmtd1,0.6127585712188941,0.5475907928658056,0.009987878527739616,0.394488788710067,-0.532663017654585,0.13379741288126662,0.4347361425684565,-0.407731008095064,0.2607409238074046
ENSMUSG00000097797,Gm26901,0.010959134632997327,0.7233224878718554,0.48401265760809437,0.004993528971013506,-0.46802555208826124,0.836214545369841,0.006562054982165381,-0.3446712894619415,0.96579415997403
ENSMUSG00000025909,Sntg1,0.0586075460808118,0.945714909208303,0.015309023531129427,0.02496764485506753,-0.9561265135568275,0.15109377143973157,0.03281027491082691,-0.6399314338872246,0.3368914182335456
ENSMUSG00000061024,Rrs1,0.19154661402021417,0.5342617472784981,0.045498841532373144,0.10486410839128363,-0.7677356076343926,0.06476739350297575,0.1492867508442624,-0.24025923600495958,0.7435105463147726
ENSMUSG00000025911,Adhfe1,0.06670777602694025,-0.709149604743009,0.018024319920626187,0.1597929270724322,1.2298402223890053,0.0003875675136683665,0.07546363229490188,-0.09105091403602117,1.0
ENSMUSG00000079671,2610203C22Rik,0.003335388801347013,-0.054285090791696966,1.0,0.004993528971013506,1.1694043685270303,0.6308021986118189,0.0016405137455413451,-0.2880877610955741,0.9974897496971618
ENSMUSG00000067879,Vxn,2.1889680219125967,3.228921006022859,2.708060691742139e-54,0.404475846652094,-2.0854938222280834,1.0564407181379193e-11,0.1197575034245182,-3.972542610541717,1.3980834738521653e-44
ENSMUSG00000025912,Mybl1,0.020965301037038364,-0.08599395051903524,1.0,0.007490293456520259,-1.2456331307518127,0.17702257401758262,0.03116976116528556,0.7708059279579942,0.342754225249458
ENSMUSG00000045210,Vcpip1,0.38214025981147204,0.2730429918382551,0.31960794287841066,0.1972443943550335,-0.9502284783842159,0.005391423853298663,0.39372329892992286,0.1620948244642284,0.7841027091361802
ENSMUSG00000097893,1700034P13Rik,0.0004764841144781447,-0.05428509079169608,1.0,0.0,1.7543668692481873,1.0,0.0,1.0338403337917885,1.0
ENSMUSG00000025915,Sgk3,0.07194910128619984,-0.9862666673630458,0.0004030564582929952,0.2771408578912496,2.0303403307894796,4.833198380963731e-11,0.05413695360286439,-0.9176158142501754,0.050407203147418235
ENSMUSG00000046101,Mcmdc2,0.010959134632997327,1.2087493150420965,0.20037308039725485,0.002496764485506753,-1.0005206329152818,0.49378827235173833,0.004921541236624036,-0.6100158559829367,0.7438186754257485
ENSMUSG00000098234,Snhg6,0.3464039512256112,-0.010014823864180844,1.0,0.3245793831158779,-0.10399383243267257,0.969641742831918,0.36419405151017864,0.08990639621254659,0.951834509976509
ENSMUSG00000099032,Tcf24,0.0,-3.8616400128493007,0.007607109153430254,0.007490293456520259,2.7543668692481864,0.11421347419166439,0.004921541236624036,2.0338403337917885,0.3745638570602602
ENSMUSG00000025916,Ppp1r42,0.005717809373737736,-0.6757734675379679,0.5944180287201525,0.019974115884054025,2.116936948632895,0.02170957532424381,0.0016405137455413451,-1.3584770889869722,0.4064404324354121
ENSMUSG00000025917,Cops5,0.6237177058518913,0.09405168545558329,0.8059094101319645,0.48437231018831006,-0.37470474832049194,0.33629362198686374,0.6496434432343727,0.11224667925710796,0.8850737496042329
ENSMUSG00000056763,Cspp1,0.1353214885117931,-0.15685482443224474,0.6892148853591212,0.19225086538401998,0.5479159917807612,0.14251340326388057,0.1230385309156009,-0.21807803984783236,0.8066158037545461
ENSMUSG00000067851,Arfgef1,0.4660014639596255,0.08321843295823794,0.8509844997799738,0.3245793831158779,-0.5487166890246167,0.13266653947599197,0.5151213160999824,0.21800470201735644,0.6275362994766862
ENSMUSG00000042501,Cpa6,0.0023824205723907235,1.53067740992946,0.3959144472615715,0.0,0.16940436852703122,1.0,0.0,-0.5511221669293676,0.9330997363257197
ENSMUSG00000048960,Prex2,0.13579797262627125,-0.33735724986203586,0.2704622048663702,0.23719262612314154,0.831534729770647,0.01153262264399982,0.12796007215222494,-0.2360261055244317,0.7734488703412271
ENSMUSG00000057715,A830018L16Rik,0.5617747709697326,2.0841968629997343,7.741685098765158e-23,0.1697799850144592,-1.4190387009290868,1.4637119452273758e-05,0.10663339346018744,-2.2071677657120077,9.20703047806391e-16
ENSMUSG00000016918,Sulf1,0.0767139424309813,-1.6273244241370337,9.357442715338647e-14,0.48686907467381685,2.6755897558640704,7.107593474804113e-28,0.07382311854936054,-0.9223779741802995,0.013213078096812086
ENSMUSG00000025938,Slco5a1,0.011912102861953617,0.4762296259070826,0.6090855444062393,0.007490293456520259,-0.1998294411386876,1.0,0.008202568727706727,-0.23917816061462815,0.9837062988862162
ENSMUSG00000005886,Ncoa2,0.44503616292258713,0.3226843676536275,0.21519093634914577,0.32707614760138465,-0.38487439286657743,0.36169043120762895,0.3740371339834267,-0.18494760087044448,0.807957520188855
ENSMUSG00000101476,Gm29570,0.0009529682289562894,0.53067740992946,1.0,0.0,1.1694043685270312,1.0,0.0,0.44887783307063245,1.0
ENSMUSG00000025935,Tram1,0.19488200282156118,-0.5092313115071769,0.038025335357805945,0.36452761488398594,0.8665763728342122,0.003934400501412381,0.21982884190254026,-0.008285141880888691,1.0
ENSMUSG00000025937,Lactb2,0.05288973670707406,-0.738783265063768,0.020022540583250575,0.0798964635362161,0.39788155232445677,0.48911215342171294,0.09350928349585667,0.7218963274770474,0.08427586807595133
ENSMUSG00000025932,Eya1,0.037165760929295286,0.7900640387481088,0.199176267118308,0.03245793831158779,0.11877829545706398,1.0,0.013124109964330761,-1.3197966208229133,0.11913912200810399
ENSMUSG00000054493,Gm9947,0.001429452343434434,0.9457149092083039,0.7698899054141063,0.0,0.7543668692481873,1.0,0.0,0.033840333791788524,1.0
ENSMUSG00000025930,Msc,0.012388586976431762,0.7006024113717713,0.46000932910840575,0.009987057942027013,0.16940436852703122,1.0,0.004921541236624036,-0.9203559765950873,0.5857797624861019
ENSMUSG00000032769,Trpa1,0.001429452343434434,0.9457149092083039,0.7698899054141063,0.0,0.7543668692481873,1.0,0.0,0.033840333791788524,1.0
ENSMUSG00000092083,Kcnb2,0.11864454450505803,1.2390738518988949,2.3449543966094183e-05,0.027464409340574283,-1.8355963125313357,0.0002110309499982751,0.06398003607611247,-0.6721375678907346,0.14834742465742087
ENSMUSG00000025925,Terf1,0.06146645076768066,0.11010172710918553,0.8792872270033155,0.047438525224628304,-0.31602245864321077,0.7170120575752797,0.06233952233057112,0.10007403219187427,1.0
ENSMUSG00000032719,Sbspon,0.0009529682289562894,-3.054285090791697,0.00165651508571746,0.009987057942027013,1.7543668692481873,0.2237093681263362,0.011483596218789416,2.226485411734183,0.05711803028977816
ENSMUSG00000067795,4930444P10Rik,0.0019059364579125787,-1.3173194966254913,0.4603295633458766,0.009987057942027013,2.491332463414393,0.14674155140327735,0.0016405137455413451,-0.13608466765052363,1.0
ENSMUSG00000043716,Rpl7,2.016480772471508,-0.3219698797295767,0.1164864123564634,3.0160914984921576,0.549985855896058,0.033188274040097214,2.1966479052798613,0.012201506077071711,1.0
ENSMUSG00000025921,Rdh10,0.0586075460808118,-0.7865893075880406,0.00844359402103331,0.14730910464489844,1.277553172382654,0.00024413841346341883,0.07054209105827784,-0.022427885854957363,1.0
ENSMUSG00000025920,Stau2,0.5965581113266372,0.20071199597667855,0.48326822667870245,0.31209556068834415,-0.9583511786713417,0.002526543878531319,0.6545649844709968,0.24933635086222095,0.5393957648161167
ENSMUSG00000025939,Ube2w,0.5179382324377433,0.389321560683918,0.09668041186727393,0.2771408578912496,-0.8645429633963063,0.008414742422948889,0.4724679587159074,-0.01884992712175726,1.0
ENSMUSG00000079658,Eloc,1.4137283676566552,0.29240144012175817,0.19931664657739917,1.0036993231737148,-0.456730373075604,0.18443649424991515,1.2533525015935878,-0.10537660469741916,0.9533122513519371
ENSMUSG00000025940,Tmem70,0.42597679834346136,0.08612286417474557,0.8462361439822448,0.2771408578912496,-0.6538112084398644,0.06492202728826779,0.4823110411891555,0.26399688823546397,0.5205161206909402
